emotion,question,comment,x,y,user_id,age,gender,sentiment_compound,sentiment_label,GRID_ID
Safety,1,"Unfortunately, it's been inaccessible for a few years.",14.404,50.092496,3yiq2930l,30-39,male,-0.34,negative,R-11
Safety,1,Quiet place with a historic atmosphere,14.424,50.091274,d3shzx8gb,50-59,female,0.0,neutral,S-11
Safety,1,Municipal House,14.428,50.087761,odokshl60,40-49,male,0.0,neutral,S-11
Safety,1,Amazing place,14.41,50.082146,lsrjv183b,20-29,male,0.5859,positive,R-12
Safety,1,Beautiful unique place,14.396,50.083161,lsrjv183b,20-29,male,0.5994,positive,Q-12
Safety,1,Quiet place,14.424,50.082178,mjemvd5e0,30-39,female,0.0,neutral,S-12
Safety,1,"Park, just trees, grass, nature. In the pre-cide era, used mainly by us local ""dog people"". Since last year unfortunately visited by many people - mess, feces, garbage :(",14.392,50.092188,1y9nbh9cv,50-59,female,-0.7783,negative,P-11
Safety,1,"The shooting range is very nice. The reconstruction has been good. I just hope it stays a quiet place and doesn't become too ""commercial"" with lots of bars.",14.41,50.081888,ufr3edf9y,30-39,male,0.8357,positive,R-12
Safety,1,Just keep it the quiet place it is now. Here I feel that this place in Prague 1 still belongs a bit more to us locals than to tourists.,14.4,50.083735,ufr3edf9y,30-39,male,0.0,neutral,Q-11
Safety,1,A place to relax,14.408,50.090425,bawohzqnn,30-39,male,0.4404,positive,R-11
Safety,1,A place to relax,14.409,50.088862,bawohzqnn,30-39,male,0.4404,positive,R-11
Safety,1,"The den of Milda the bear and his marmots Jiřík, Vráti and Martínk. KGB and GRU detached offices in the Czech Republic",14.4,50.089805,k4wf7i65m,70+,female,-0.128,negative,Q-11
Safety,1,Strakovka - where Andrej Babiš and Marek Prchal are plotting how to cover their tracks after the subsidy scam with Čapí nezd,14.412,50.09165,k4wf7i65m,70+,female,-0.5719,negative,R-11
Safety,1,The Communist Museum - the headquarters of the Communist Party of Czechoslovakia and the second KGB and GRU residence in Prague after the one in Zeman's castle,14.429,50.083279,k4wf7i65m,70+,female,0.4019,positive,S-12
Safety,1,I live here,14.423,50.083678,vx1q6xufg,30-39,male,0.0,neutral,S-11
Safety,1,"A good, relatively quiet place to sit.",14.41,50.082315,uqua2in6h,20-29,male,0.4404,positive,R-12
Safety,1,Kampa park,14.408,50.08405,ws96faotf,30-39,female,0.0,neutral,R-12
Safety,1,"Petrin,Strahov",14.401,50.085167,ws96faotf,30-39,female,0.0,neutral,Q-11
Safety,1,Shameful!,14.415,50.089055,5gkv0etge,50-59,male,-0.5411,negative,R-11
Safety,1,Soukenická,14.43,50.090241,ifyy6ebj0,40-49,female,0.0,neutral,S-11
Safety,1,"Café Time = refreshments, live music",14.409,50.088098,4o75hb01b,60-69,female,0.0,neutral,R-12
Safety,1,Axa Pool,14.436,50.089984,j7hgc2g5r,30-39,male,0.0,neutral,T-11
Safety,1,"A quiet, beautiful place in the centre",14.424,50.082233,7yroy4x11,20-29,male,0.5994,positive,S-12
Safety,1,pedal boats,14.412,50.080746,7yroy4x11,20-29,male,0.0,neutral,R-12
Safety,1,well,14.424,50.087943,padj7het6,20-29,female,0.2732,positive,S-11
Safety,1,"It's a nice place to read, wait, eat lunch.  I would argue to keep it that way and not stop in the future.",14.42,50.087351,azat1taow,20-29,male,0.3156,positive,S-11
Safety,1,The castle is now a static museum. It would be nice to have a gay pride or something similarly inclusive.,14.399,50.090425,azat1taow,20-29,male,0.6369,positive,Q-11
Safety,1,"I lived on Školská Street for 6 years, now I live on Letná, but I walk to Svetozor from my home office several times a week. It's so nice to see Wenceslas Square changing. The coolest thing is the water retention, so that the trees don't",14.424,50.084119,azat1taow,20-29,male,0.7118,positive,S-11
Safety,1,"I go jogging from Letná over Štefánik Bridge and Řásnovka Street to Old Town. Building MIT still looks like an elephant in the china shop. Parking lots, non-contiguous sidewalks, unnecessarily large asphalt areas. It's nothing extremely bothersome,",14.425,50.092321,azat1taow,20-29,male,0.5689,positive,S-11
Safety,1,I'm looking forward to the announced passage from OD Bílá swan. Hopefully it will work out.,14.432,50.091306,azat1taow,20-29,male,0.4019,positive,T-11
Safety,1,"I work in an office near Chelak's Orchards, and while there's still a disgusting arterial road (which has no bike lanes - incomprehensible in 2021), you can now walk in on a bench and barely think about passing cars. The newly made park is h",14.43,50.07806,azat1taow,20-29,male,-0.6808,negative,S-12
Safety,1,"Awfully cool, Drn. Made the whole National enjoyable for me, learned to pass the time there.",14.418,50.081503,azat1taow,20-29,male,0.6697,positive,R-12
Safety,1,Palladium,14.429,50.089048,gjmbkpig4,20-29,male,0.0,neutral,S-11
Safety,1,"park, KC Kampa, meeting with neighbours, friends, gardening...",14.408,50.08416,txfcqlu29,30-39,female,0.4767,positive,R-12
Safety,1,"Petřín as a whole- walks with children, running, picking apples, almonds, views",14.4,50.083527,txfcqlu29,30-39,female,0.0,neutral,Q-11
Safety,1,vojanovy sady- a nice quiet place,14.409,50.088566,txfcqlu29,30-39,female,0.4215,positive,R-11
Safety,1,"When we could, we liked to go to the deer moat.",14.403,50.092407,txfcqlu29,30-39,female,0.4215,positive,Q-11
Safety,1,"hidden playground for children, + cool in summer and few people, - would like to upgrade the play elements, full baskets..",14.392,50.091278,txfcqlu29,30-39,female,0.7351,positive,P-11
Safety,1,"walks, trapping in water",14.41,50.081916,txfcqlu29,30-39,female,0.0,neutral,R-12
Safety,1,"Sometimes I run out to the bench at the Rudolfinum, where I work.",14.415,50.090136,g60cqfc29,40-49,female,0.0,neutral,R-11
