GRID_ID,topic,x_label,y_label,x_val,y_val,bivar_class,respondents,color
Y-8,Safety,Safety marks,Night Lights,203.252033,30.109861,3-3,25,#3b4994
S-9,Safety,Safety marks,Night Lights,357.142857,21.708472,3-3,5,#3b4994
AJ-14,Safety,Safety marks,Night Lights,0.0,5.166548,1-1,0,#e8e8e8
T-6,Safety,Safety marks,Night Lights,0.607995,13.000104,1-2,4,#ace4e4
P-25,Safety,Safety marks,Night Lights,0.0,10.148125,1-2,0,#ace4e4
V-17,Safety,Safety marks,Night Lights,1555.555556,38.397084,3-3,14,#3b4994
Z-11,Safety,Safety marks,Night Lights,0.0,14.419834,1-2,0,#ace4e4
X-19,Safety,Safety marks,Night Lights,0.0,16.171875,1-2,0,#ace4e4
AE-17,Safety,Safety marks,Night Lights,,9.895,1-2,1,#ace4e4
Z-7,Safety,Safety marks,Night Lights,806.451613,26.005694,3-3,25,#3b4994
R-9,Safety,Safety marks,Night Lights,0.0,12.0625,1-2,0,#ace4e4
AB-10,Safety,Safety marks,Night Lights,41.677453,18.579028,3-2,161,#8c62aa
AJ-12,Safety,Safety marks,Night Lights,,5.676833,1-1,1,#e8e8e8
M-24,Safety,Safety marks,Night Lights,0.0,3.009896,1-1,0,#e8e8e8
M-13,Safety,Safety marks,Night Lights,0.657678,27.767778,1-3,2,#5ac8c8
R-20,Safety,Safety marks,Night Lights,68.329016,22.160278,3-3,211,#3b4994
AB-18,Safety,Safety marks,Night Lights,0.538648,13.020834,1-2,2,#ace4e4
Y-13,Safety,Safety marks,Night Lights,19.351056,31.867639,2-3,99,#5698b9
U-19,Safety,Safety marks,Night Lights,14.580093,18.88375,2-2,75,#a5b4c2
K-16,Safety,Safety marks,Night Lights,1.2463,32.666945,1-3,8,#5ac8c8
X-13,Safety,Safety marks,Night Lights,18.748804,34.747604,2-3,98,#5698b9
L-25,Safety,Safety marks,Night Lights,,3.491979,1-1,0,#e8e8e8
U-20,Safety,Safety marks,Night Lights,,6.761389,1-1,23,#e8e8e8
P-17,Safety,Safety marks,Night Lights,12.17862,29.437222,2-3,9,#5698b9
I-14,Safety,Safety marks,Night Lights,12.592593,22.222917,2-3,34,#5698b9
AH-15,Safety,Safety marks,Night Lights,,2.385139,1-1,0,#e8e8e8
I-7,Safety,Safety marks,Night Lights,,3.324167,1-1,0,#e8e8e8
G-8,Safety,Safety marks,Night Lights,,25.77125,1-3,0,#5ac8c8
X-3,Safety,Safety marks,Night Lights,,7.741111,1-2,1,#ace4e4
O-11,Safety,Safety marks,Night Lights,4.927212,29.884375,2-3,22,#5698b9
Q-15,Safety,Safety marks,Night Lights,,11.212917,1-2,0,#ace4e4
Q-8,Safety,Safety marks,Night Lights,23.255814,11.935833,2-2,5,#a5b4c2
U-8,Safety,Safety marks,Night Lights,75.257732,22.995416,3-3,73,#3b4994
I-8,Safety,Safety marks,Night Lights,0.0,8.180625,1-2,0,#ace4e4
L-10,Safety,Safety marks,Night Lights,27.027027,6.269861,2-1,1,#dfb0d6
AE-15,Safety,Safety marks,Night Lights,,10.037361,1-2,0,#ace4e4
AE-16,Safety,Safety marks,Night Lights,23.255814,21.498195,2-3,2,#5698b9
AD-9,Safety,Safety marks,Night Lights,,26.425695,1-3,26,#5ac8c8
Z-16,Safety,Safety marks,Night Lights,2142.857143,13.533611,3-2,15,#8c62aa
W-3,Safety,Safety marks,Night Lights,0.951475,6.968472,1-1,2,#e8e8e8
U-22,Safety,Safety marks,Night Lights,,5.296528,1-1,0,#e8e8e8
J-17,Safety,Safety marks,Night Lights,0.566412,15.238611,1-2,2,#ace4e4
AF-12,Safety,Safety marks,Night Lights,30.425963,11.551806,3-2,15,#8c62aa
L-22,Safety,Safety marks,Night Lights,,2.395417,1-1,0,#e8e8e8
P-7,Safety,Safety marks,Night Lights,0.0,15.834028,1-2,0,#ace4e4
AF-20,Safety,Safety marks,Night Lights,,5.024167,1-1,0,#e8e8e8
AI-7,Safety,Safety marks,Night Lights,,9.886667,1-2,1,#ace4e4
AK-16,Safety,Safety marks,Night Lights,,1.965,1-1,0,#e8e8e8
AM-11,Safety,Safety marks,Night Lights,0.0,2.139583,1-1,0,#e8e8e8
S-21,Safety,Safety marks,Night Lights,333.333333,5.925833,3-1,1,#be64ac
W-13,Safety,Safety marks,Night Lights,795.698925,60.649028,3-3,74,#3b4994
AI-14,Safety,Safety marks,Night Lights,,4.406945,1-1,1,#e8e8e8
K-11,Safety,Safety marks,Night Lights,27.972028,23.960521,2-3,4,#5698b9
S-6,Safety,Safety marks,Night Lights,4.024145,18.575417,2-2,2,#a5b4c2
R-17,Safety,Safety marks,Night Lights,425.925926,36.439999,3-3,46,#3b4994
S-5,Safety,Safety marks,Night Lights,,4.860238,1-1,0,#e8e8e8
Z-17,Safety,Safety marks,Night Lights,18.101761,28.25375,2-3,37,#5698b9
AD-6,Safety,Safety marks,Night Lights,0.0,4.559444,1-1,0,#e8e8e8
N-7,Safety,Safety marks,Night Lights,,7.572083,1-2,0,#ace4e4
AB-17,Safety,Safety marks,Night Lights,,13.433889,1-2,41,#ace4e4
X-9,Safety,Safety marks,Night Lights,338.129496,24.423666,3-3,47,#3b4994
L-13,Safety,Safety marks,Night Lights,25.78019,28.738889,2-3,19,#5698b9
Z-8,Safety,Safety marks,Night Lights,,36.179584,1-3,8,#5ac8c8
